geoid,aland,awater,income,population,kmdensity,centx,centy
420410121001,1340526,16165,26975,1169,872.0460205,-77.17875426,40.20143786
420410122002,229305,0,19278,924,4029.570068,-77.19098494,40.20191172
420410122001,254966,0,22316,1219,4781.029785,-77.18691912,40.20099887
420430244001,766898,0,26592,935,1219.199951,-76.70888083,40.26114187
420430228003,2172412,79874,21226,1869,860.3339844,-76.73857228,40.26056787
420410124003,557356,0,35621,1707,3062.669922,-77.1982498,40.19852474
420410129001,402253,1827,20695,643,1598.5,-77.39881019,40.173718
420410129002,684064,20587,24027,631,922.4279785,-77.40299771,40.16816325
420430244003,989000,29844,26031,1461,1477.25,-76.70181902,40.26631107
420130101031,700983,0,20064,1046,1492.189941,-78.24378538,40.67561523
420130104011,570480,0,23418,902,1581.119995,-78.33163966,40.59829158
420130104012,523984,0,21145,840,1603.099976,-78.33718141,40.60379902
420130106002,2977752,0,26500,1599,536.9819946,-78.39952301,40.46516211
420810108007,671440,0,30440,801,1192.959961,-76.78230258,41.19655122
420810104001,96064537,908603,24583,909,9.462389946,-77.05085067,41.41167715
420810106002,61937794,344226,30726,927,14.96660042,-76.65584897,41.19462067
420810107004,933573,0,22852,1306,1398.930054,-76.72270573,41.23751877
420810107005,736682,0,24974,720,977.3549805,-76.72875866,41.24098877
420810109001,21024978,79175,30683,1586,75.43409729,-76.87429069,41.26848075
420810109002,10406583,487804,35195,1207,115.9840012,-76.87515121,41.24261733
420810110001,925362,1740,26485,1342,1450.23999,-76.90867049,41.25908743
420810110003,6324430,1485904,23283,955,151.0019989,-76.92086094,41.24444856
420130109006,1289939,0,32734,530,410.8720093,-78.37574123,40.45507511
420130110023,7466434,0,27154,1549,207.4620056,-78.4425694,40.43816632
420130111002,924083,0,23110,772,835.4229736,-78.43284324,40.42591233
420810108001,40103675,581107,33574,1025,25.55879974,-76.80029403,41.25246656
420810108002,13128559,523881,22846,1163,88.58550262,-76.76887681,41.21747154
420810108003,23455078,129561,20894,1330,56.70410156,-76.7297466,41.18710631
420810108005,750531,0,24076,837,1115.209961,-76.78655339,41.20219262
420810110004,391970,0,30207,774,1974.640015,-76.92357639,41.25321583
420810112003,12462489,134076,23158,1180,94.68409729,-77.03797262,41.27494308
420810113023,1094614,28427,25425,1170,1068.869995,-77.04950655,41.25161123
420810113024,1045369,8871,21220,1063,1016.869995,-77.05089606,41.25849957
420810113025,614023,23434,20895,541,881.0739746,-77.0450545,41.26350398
420810114002,17008957,1585812,21608,1008,59.26290131,-77.12599397,41.21080217
420130112001,1193398,0,32241,1094,916.710022,-78.3841975,40.43687472
420130112002,1284950,0,27865,975,758.7839966,-78.39995749,40.43756767
420970805002,29663646,2687343,25637,955,32.19430161,-76.71790599,40.9389021
